criticID,googleID,stars,link,publisher,name
marttaKukonen,88,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/ensi-iltakomedia-blinded-light-fanielokuva-niin-hyvassa-kuin,Me Naiset,Martta Kaukonen
mariaLättilä,88,3,https://www.episodi.fi/elokuvat/blinded-by-the-light/,Episodi,Maria Lättilä
päiviValotie,88,4,Turun Sanomat 8.11.2019,Turun Sanomat,Päivi Valotie
jarnoLindemark,88,3,Etelä-Suomen Sanomat 8.11.2019,Etelä-Suomen Sanomat,Jarno Lindemark
teroAlanko,88,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/springsteenin-musiikkiin-nojaava-blinded-by-the-light-itkettaa-ja-naurattaa-kuten-draamakomedian-kuuluukin/,Kulttuuritoimitus.fi,Tero Alanko
jarnoLindemark,89,2,Etelä-Suomen Sanomat 1.11.2019,Etelä-Suomen Sanomat,Jarno Lindemark
avola,89,3,Helsingin Sanomat 1.11.2019,Helsingin Sanomat,Pertti Avola
kariSalminen,89,2,Turun Sanomat 1.11.20191,Turun Sanomat,Kari Salminen
jussiUPellonpää,89,2,Forssan Lehti 1.11.2019,Forssan Lehti,Jussi U. Pellonpää
kristerUggedal,89,2,Hufvudstadsbladet 1.11.2019,Hufvudstadsbladet,Krister Uggedal
timoAlho,89,2,Etelä-Saimaa 2.11.2019,Etelä-Saimaa,Timo Alho
helinäLaajalahti,89,2,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-uutena-animaationa-perhe-addams-kaantyy-hampaattomaksi-ja-sisasiistiksi-lastenelokuvaksi/,Muropaketti,Helinä Laajalahti
niklasTirronen,89,3,https://www.episodi.fi/elokuvat/perhe-addams/,Episodi,Niklas Tirkkonen
jouniVikman,90,3,https://www.episodi.fi/elokuvat/pekka-topohanta/,Episodi,Jouni Vikman
tr,90,3,Katso 31/2020,Katso,T R
tuomoYrttiaho,90,2,Helsingin Sanomat 31.7.2020,Helsingin Sanomat,Tuomo Yrttiaho
päiviValotie,90,1,Turun Sanomat 31.8.2020,Turun Sanomat,Päivi Valotie
jussiVirratvuori,90,3,Etelä-Suomen Sanomat 31.7.2020,Etelä-Suomen Sanomat,Jussi Virratvuori
kristerUggedal,90,3,Hufvudstadsbladet 31.7.2020,Hufvudstadsbladet,Krister Uggedal
nikoIkonen,91,3,https://www.episodi.fi/elokuvat/the-witch-in-the-window/,Episodi,Niko Ikonen
tuukkaHämäläinen,91,3.5,https://muropaketti.com/elokuvat/elokuvauutiset/arvostelu-the-witch-in-the-window-on-laatukauhua-joka-panostaa-juuri-oikeisiin-asioihin/,Muropaketti,Tuukka Hämäläinen
avola,91,4,Helsingin Sanomat 7.8.2020,Helsingin Sanomat,Pertti Avola
kariSalminen,91,4,Turun Sanomat 7.8.2020,Turun Sanomat,Kari Salminen
kristerUggedal,91,3,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet,Krister Uggedal
jussiUPellonpää,91,4,Forssan Lehti 14.8.2020,Etelä-Suomen Sanomat,Jussi U. Pellonpää
oonaKomonen,92,3,Helsingin Sanomat 7.8.2020,Helsingin Sanomat,Oona Komonen
pekkaEronen,92,4,Aamulehti 7.8.2020,Aamulehti,Pekka Eronen
päiviValotie,92,3,Turun Sanomat 7.8.2020,Turun Sanomat,Päivi Valotie
jussiVirratvuori,92,4,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat,Jussi Virratvuori
kristerUggedal,92,2,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet,Krister Uggedal
tr,92,2,Seiska 32/2020,Seiska,T R
klasFransberg,92,3,Vasabladet 7.8.2020,Vasabladet,Klas Fransberg
hemanus,92,3,Eeva,Eeva,Kirsi Hemanus
heikkiIkonen,92,2,Hämeen Sanomat 12.8.2020,Hämeen Sanomat,Heikki Ikonen
hannuBjörkbacka,92,4,Keskipohjanmaa 1.8.2020,Keskipohjanmaa,Hannu Björkbacka
avola,93,2,Helsingin Sanomat 7.8.2020,Helsingin Sanomat,Pertti Avola
jarnoLindemark,93,3,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat,Jarno Lindemark
